#mt_dcx   mt    pourcentage

1                         0         100.0000
1                         1         99.9896
1                         2         0.0000
1                         3         0.0000
1                         4         0.0000
1                         5         0.0000
1                         6         0.0000
1                         7         0.0000
1                         8         0.0000
1                         9         0.0000
1                         10         0.0000
1                         11         0.0000
1                         12         0.0000
1                         13         0.0000
1                         14         0.0000
1                         15         0.0000
1                         16         0.0000
1                         17         0.0000
1                         18         0.0000
1                         19         0.0000
1                         20         0.0000
1                         21         0.0000
1                         22         0.0000
1                         23         0.0000
1                         24         0.0000
1                         25         0.0000
1                         26         0.0000
1                         27         0.0000
1                         28         0.0000
1                         29         0.0000
1                         30         0.0000
1                         31         0.0000
1                         32         0.0000
1                         33         0.0000
1                         34         0.0000
1                         35         0.0000
1                         36         0.0000
1                         37         0.0000
1                         38         0.0000
1                         39         0.0000
1                         40         0.0000
1                         41         0.0000
1                         42         0.0000
1                         43         0.0000
1                         44         0.0000
1                         45         0.0000
1                         46         0.0000
1                         47         0.0000
1                         48         0.0000
1                         49         0.0000
1                         50         0.0000
1                         51         0.0000
1                         52         0.0000
1                         53         0.0000
1                         54         0.0000
1                         55         0.0000
1                         56         0.0000
1                         57         0.0000
1                         58         0.0000
1                         59         0.0000
1                         60         0.0000
1                         61         0.0000
1                         62         0.0000
1                         63         0.0000
1                         64         0.0000
1                         65         0.0000
1                         66         0.0000
1                         67         0.0000
1                         68         0.0000
1                         69         0.0000
1                         70         0.0000
1                         71         0.0000
1                         72         0.0000
1                         73         0.0000
1                         74         0.0000
1                         75         0.0000
1                         76         0.0000
1                         77         0.0000
1                         78         0.0000
1                         79         0.0000
1                         80         0.0000
1                         81         0.0000
1                         82         0.0000
1                         83         0.0000
1                         84         0.0000
1                         85         0.0000
1                         86         0.0000
1                         87         0.0000
1                         88         0.0000
1                         89         0.0000
1                         90         0.0000
1                         91         0.0000
1                         92         0.0000
1                         93         0.0000
1                         94         0.0000
1                         95         0.0000
1                         96         0.0000
1                         97         0.0000
1                         98         0.0000
1                         99         0.0000
1                         100         0.0000
1                         101         0.0000
1                         102         0.0000
1                         103         0.0000
1                         104         0.0000
1                         105         0.0000

2                         0         100.0000
2                         1         0.0000
2                         2         99.9896
2                         3         0.0000
2                         4         0.0000
2                         5         0.0000
2                         6         0.0000
2                         7         0.0000
2                         8         0.0000
2                         9         0.0000
2                         10         0.0000
2                         11         0.0000
2                         12         0.0000
2                         13         0.0000
2                         14         0.0000
2                         15         0.0000
2                         16         0.0000
2                         17         0.0000
2                         18         0.0000
2                         19         0.0000
2                         20         0.0000
2                         21         0.0000
2                         22         0.0000
2                         23         0.0000
2                         24         0.0000
2                         25         0.0000
2                         26         0.0000
2                         27         0.0000
2                         28         0.0000
2                         29         0.0000
2                         30         0.0000
2                         31         0.0000
2                         32         0.0000
2                         33         0.0000
2                         34         0.0000
2                         35         0.0000
2                         36         0.0000
2                         37         0.0000
2                         38         0.0000
2                         39         0.0000
2                         40         0.0000
2                         41         0.0000
2                         42         0.0000
2                         43         0.0000
2                         44         0.0000
2                         45         0.0000
2                         46         0.0000
2                         47         0.0000
2                         48         0.0000
2                         49         0.0000
2                         50         0.0000
2                         51         0.0000
2                         52         0.0000
2                         53         0.0000
2                         54         0.0000
2                         55         0.0000
2                         56         0.0000
2                         57         0.0000
2                         58         0.0000
2                         59         0.0000
2                         60         0.0000
2                         61         0.0000
2                         62         0.0000
2                         63         0.0000
2                         64         0.0000
2                         65         0.0000
2                         66         0.0000
2                         67         0.0000
2                         68         0.0000
2                         69         0.0000
2                         70         0.0000
2                         71         0.0000
2                         72         0.0000
2                         73         0.0000
2                         74         0.0000
2                         75         0.0000
2                         76         0.0000
2                         77         0.0000
2                         78         0.0000
2                         79         0.0000
2                         80         0.0000
2                         81         0.0000
2                         82         0.0000
2                         83         0.0000
2                         84         0.0000
2                         85         0.0000
2                         86         0.0000
2                         87         0.0000
2                         88         0.0000
2                         89         0.0000
2                         90         0.0000
2                         91         0.0000
2                         92         0.0000
2                         93         0.0000
2                         94         0.0000
2                         95         0.0000
2                         96         0.0000
2                         97         0.0000
2                         98         0.0000
2                         99         0.0000
2                         100         0.0000
2                         101         0.0000
2                         102         0.0000
2                         103         0.0000
2                         104         0.0000
2                         105         0.0000

3                         0         100.0000
3                         1         0.0000
3                         2         0.0000
3                         3         99.9896
3                         4         0.0000
3                         5         0.0000
3                         6         0.0000
3                         7         0.0000
3                         8         0.0000
3                         9         0.0000
3                         10         0.0000
3                         11         0.0000
3                         12         0.0000
3                         13         0.0000
3                         14         0.0000
3                         15         0.0000
3                         16         0.0000
3                         17         0.0000
3                         18         0.0000
3                         19         0.0000
3                         20         0.0000
3                         21         0.0000
3                         22         0.0000
3                         23         0.0000
3                         24         0.0000
3                         25         0.0000
3                         26         0.0000
3                         27         0.0000
3                         28         0.0000
3                         29         0.0000
3                         30         0.0000
3                         31         0.0000
3                         32         0.0000
3                         33         0.0000
3                         34         0.0000
3                         35         0.0000
3                         36         0.0000
3                         37         0.0000
3                         38         0.0000
3                         39         0.0000
3                         40         0.0000
3                         41         0.0000
3                         42         0.0000
3                         43         0.0000
3                         44         0.0000
3                         45         0.0000
3                         46         0.0000
3                         47         0.0000
3                         48         0.0000
3                         49         0.0000
3                         50         0.0000
3                         51         0.0000
3                         52         0.0000
3                         53         0.0000
3                         54         0.0000
3                         55         0.0000
3                         56         0.0000
3                         57         0.0000
3                         58         0.0000
3                         59         0.0000
3                         60         0.0000
3                         61         0.0000
3                         62         0.0000
3                         63         0.0000
3                         64         0.0000
3                         65         0.0000
3                         66         0.0000
3                         67         0.0000
3                         68         0.0000
3                         69         0.0000
3                         70         0.0000
3                         71         0.0000
3                         72         0.0000
3                         73         0.0000
3                         74         0.0000
3                         75         0.0000
3                         76         0.0000
3                         77         0.0000
3                         78         0.0000
3                         79         0.0000
3                         80         0.0000
3                         81         0.0000
3                         82         0.0000
3                         83         0.0000
3                         84         0.0000
3                         85         0.0000
3                         86         0.0000
3                         87         0.0000
3                         88         0.0000
3                         89         0.0000
3                         90         0.0000
3                         91         0.0000
3                         92         0.0000
3                         93         0.0000
3                         94         0.0000
3                         95         0.0000
3                         96         0.0000
3                         97         0.0000
3                         98         0.0000
3                         99         0.0000
3                         100         0.0000
3                         101         0.0000
3                         102         0.0000
3                         103         0.0000
3                         104         0.0000
3                         105         0.0000

4                         0         100.0000
4                         1         0.0000
4                         2         0.0002
4                         3         0.0002
4                         4         99.9893
4                         5         0.0000
4                         6         0.0000
4                         7         0.0000
4                         8         0.0000
4                         9         0.0000
4                         10         0.0000
4                         11         0.0000
4                         12         0.0000
4                         13         0.0000
4                         14         0.0000
4                         15         0.0000
4                         16         0.0000
4                         17         0.0000
4                         18         0.0000
4                         19         0.0000
4                         20         0.0000
4                         21         0.0000
4                         22         0.0000
4                         23         0.0000
4                         24         0.0000
4                         25         0.0000
4                         26         0.0000
4                         27         0.0000
4                         28         0.0000
4                         29         0.0000
4                         30         0.0000
4                         31         0.0000
4                         32         0.0000
4                         33         0.0000
4                         34         0.0000
4                         35         0.0000
4                         36         0.0000
4                         37         0.0000
4                         38         0.0000
4                         39         0.0000
4                         40         0.0000
4                         41         0.0000
4                         42         0.0000
4                         43         0.0000
4                         44         0.0000
4                         45         0.0000
4                         46         0.0000
4                         47         0.0000
4                         48         0.0000
4                         49         0.0000
4                         50         0.0000
4                         51         0.0000
4                         52         0.0000
4                         53         0.0000
4                         54         0.0000
4                         55         0.0000
4                         56         0.0000
4                         57         0.0000
4                         58         0.0000
4                         59         0.0000
4                         60         0.0000
4                         61         0.0000
4                         62         0.0000
4                         63         0.0000
4                         64         0.0000
4                         65         0.0000
4                         66         0.0000
4                         67         0.0000
4                         68         0.0000
4                         69         0.0000
4                         70         0.0000
4                         71         0.0000
4                         72         0.0000
4                         73         0.0000
4                         74         0.0000
4                         75         0.0000
4                         76         0.0000
4                         77         0.0000
4                         78         0.0000
4                         79         0.0000
4                         80         0.0000
4                         81         0.0000
4                         82         0.0000
4                         83         0.0000
4                         84         0.0000
4                         85         0.0000
4                         86         0.0000
4                         87         0.0000
4                         88         0.0000
4                         89         0.0000
4                         90         0.0000
4                         91         0.0000
4                         92         0.0000
4                         93         0.0000
4                         94         0.0000
4                         95         0.0000
4                         96         0.0000
4                         97         0.0000
4                         98         0.0000
4                         99         0.0000
4                         100         0.0000
4                         101         0.0000
4                         102         0.0000
4                         103         0.0000
4                         104         0.0000
4                         105         0.0000

5                         0         100.0000
5                         1         0.0002
5                         2         0.0000
5                         3         0.0036
5                         4         0.0003
5                         5         99.9857
5                         6         0.0000
5                         7         0.0000
5                         8         0.0000
5                         9         0.0000
5                         10         0.0000
5                         11         0.0000
5                         12         0.0000
5                         13         0.0000
5                         14         0.0000
5                         15         0.0000
5                         16         0.0000
